filename,width,height,class,xmin,ymin,xmax,ymax
clementine.jpg,800,600,orange,106,207,406,488
clementine.jpg,800,600,orange,412,150,696,446
e059422a-13cd-42b4-8308-3c38f86d33f9_425x425.JPG,425,425,orange,6,115,225,330
e059422a-13cd-42b4-8308-3c38f86d33f9_425x425.JPG,425,425,orange,206,100,413,325
eaf6a0e66a46e9b07f0c68af2178558c9c7fb0df.jpg,640,427,orange,19,75,304,353
eaf6a0e66a46e9b07f0c68af2178558c9c7fb0df.jpg,640,427,orange,364,136,608,379
fff.jpg,384,436,orange,38,69,382,422
free-orange-fruit-clipart-pictures-0adULa-clipart.jpg,1024,768,orange,174,40,849,734
fruit-orange.jpg,1024,768,orange,124,131,609,664
fruit-orange.jpg,1024,768,orange,462,156,990,687
ggg.jpg,3160,2072,orange,81,489,1513,1908
ggg.jpg,3160,2072,orange,1665,305,3061,1944
ghfhfh.jpg,1024,600,orange,31,161,416,480
ghfhfh.jpg,1024,600,orange,453,137,999,551
hsh.jpg,275,183,orange,161,65,227,131
hsh.jpg,275,183,orange,1,62,72,118
hsh.jpg,275,183,orange,3,124,73,170
hsh.jpg,275,183,orange,157,21,224,75
hsh.jpg,275,183,orange,224,50,275,112
images.jpg,225,225,orange,2,41,108,136
images.jpg,225,225,orange,19,111,132,213
images.jpg,225,225,orange,112,66,220,183
images.jpg,225,225,orange,126,168,217,207
IMG_1677.jpg,800,534,orange,66,161,429,534
IMG_1677.jpg,800,534,orange,372,15,714,344
jkhkh.jpg,650,400,orange,243,68,532,309
laranja-laranja.jpg,960,720,orange,76,330,407,651
laranja-laranja.jpg,960,720,orange,484,295,842,642
laranja-laranja.jpg,960,720,orange,135,80,472,320
laranja-laranja.jpg,960,720,orange,411,110,670,317
laranja-laranja.jpg,960,720,orange,570,1,854,182
laranja-laranja.jpg,960,720,orange,312,1,568,133
laranja-laranja.jpg,960,720,orange,4,183,199,476
marisol2a.png,350,226,orange,22,11,219,212
marisol2a.png,350,226,orange,178,13,329,210
maxresdefault.jpg,1280,720,orange,200,1,688,391
maxresdefault.jpg,1280,720,orange,676,1,1111,405
maxresdefault.jpg,1280,720,orange,184,269,618,600
maxresdefault.jpg,1280,720,orange,425,319,852,659
maxresdefault.jpg,1280,720,orange,668,355,1127,666
navel_grande.jpg,600,600,orange,34,58,376,428
navel_grande.jpg,600,600,orange,289,188,587,530
nn.jpg,324,215,orange,19,60,202,211
nn.jpg,324,215,orange,130,1,294,138
nn.jpg,324,215,orange,179,132,323,215
o-GMO-ORANGES-facebook.jpg,2000,1000,orange,95,305,469,691
o-GMO-ORANGES-facebook.jpg,2000,1000,orange,487,291,909,701
o-GMO-ORANGES-facebook.jpg,2000,1000,orange,893,269,1333,649
o-GMO-ORANGES-facebook.jpg,2000,1000,orange,1281,243,1745,687
o-GMO-ORANGES-facebook.jpg,2000,1000,orange,279,623,682,1000
o-GMO-ORANGES-facebook.jpg,2000,1000,orange,709,609,1147,1000
o-GMO-ORANGES-facebook.jpg,2000,1000,orange,1129,607,1564,1000
o-GMO-ORANGES-facebook.jpg,2000,1000,orange,1559,583,1945,1000
o-GMO-ORANGES-facebook.jpg,2000,1000,orange,3,1,307,347
o-GMO-ORANGES-facebook.jpg,2000,1000,orange,265,7,689,347
o-GMO-ORANGES-facebook.jpg,2000,1000,orange,661,1,1093,325
o-GMO-ORANGES-facebook.jpg,2000,1000,orange,1106,1,1519,337
o-GMO-ORANGES-facebook.jpg,2000,1000,orange,1402,1,1875,323
orange-bh24.jpg,750,450,orange,80,154,579,400
orange-bh24.jpg,750,450,orange,180,18,698,314
orange-fresh-fruit-two-leaves-water-droplets-white-background-clipping-path-included-31688411.jpg,1300,1261,orange,164,104,1111,1091
orange-fruit-vitamins-healthy-eating-52533.jpeg,3008,2000,orange,702,150,2366,1807
orange-king-of-fruits.jpg,1620,1080,orange,139,279,997,1079
orange-king-of-fruits.jpg,1620,1080,orange,639,15,1447,782
orange-king-of-fruits.jpg,1620,1080,orange,858,649,1615,1076
Orange-Navel1.jpg,900,602,orange,133,46,784,559
Orange-Navel1.jpg,900,602,orange,157,35,738,586
orange-nutrition-benefits-skin-immunity-more.jpg,800,365,orange,214,67,483,335
orange-nutrition-benefits-skin-immunity-more.jpg,800,365,orange,521,148,800,360
orange-nutrition-benefits-skin-immunity-more.jpg,800,365,orange,20,71,263,220
orange.jpg,605,612,orange,15,183,374,536
orange.jpg,605,612,orange,209,292,594,565
orange.jpg,605,612,orange,184,20,567,403
Oranges 2.jpg,532,600,orange,24,319,183,509
Oranges 2.jpg,532,600,orange,163,348,362,548
Oranges 2.jpg,532,600,orange,357,347,531,571
Oranges 2.jpg,532,600,orange,207,106,376,291
Oranges 2.jpg,532,600,orange,73,108,219,278
Oranges 2.jpg,532,600,orange,372,96,532,288
Oranges 2.jpg,532,600,orange,158,250,306,372
Oranges 2.jpg,532,600,orange,334,271,489,380
Oranges 2.jpg,532,600,orange,258,36,424,162
oranges_625x350_81422606807.jpg,625,350,orange,82,2,431,315
orange_PNG781.png,3099,2974,orange,1,34,3087,2943
ouiouio.jpg,255,198,orange,4,16,185,179
ouiouio.jpg,255,198,orange,143,6,255,168
peeld-orange-fruits-sweet-pulp-260nw-780679669.jpg,414,280,orange,118,1,397,238
peeld-orange-fruits-sweet-pulp-260nw-780679669.jpg,414,280,orange,19,120,155,253
photodune-7027886-orange-slice-xs.jpg,447,447,orange,27,43,410,410
photolibrary_rf_photo_of_orange_wedge_and_juice.jpg,493,335,orange,68,1,484,332
photolibrary_rf_photo_of_orange_wedge_and_juice.jpg,493,335,orange,78,7,437,304
pipyuip.jpg,299,168,orange,15,30,178,152
pipyuip.jpg,299,168,orange,169,36,290,144
plantsguru-fruitplants-orange-600x548.jpg,600,548,orange,49,76,207,243
plantsguru-fruitplants-orange-600x548.jpg,600,548,orange,181,50,381,241
